year,avg_temp
1796,26.53
1797,27.48
1798,26.2
1799,26.84
1800,26.88
1801,26.05
1802,27.44
1803,27.22
1804,27.65
1805,27.02
1806,26.89
1807,26.15
1808,
1809,
1810,
1811,
1812,
1813,26.25
1814,25.65
1815,25.8
1816,25.38
1817,25.61
1818,25.83
1819,25.78
1820,25.88
1821,26.45
1822,26.43
1823,26.65
1824,27.1
1825,26.72
1826,26.89
1827,26.73
1828,26.63
1829,26.47
1830,26.45
1831,26.41
1832,26.63
1833,26.5
1834,26.56
1835,25.8
1836,26.19
1837,26.24
1838,26.33
1839,26.34
1840,26.44
1841,26.12
1842,26.27
1843,26.01
1844,26.08
1845,26.39
1846,26.82
1847,26.31
1848,26.32
1849,26.26
1850,26.47
1851,26.45
1852,26.4
1853,26.7
1854,26.79
1855,26.81
1856,26.24
1857,25.82
1858,26.6
1859,26.6
1860,26.41
1861,26.26
1862,24.38
1863,
1864,
1865,26.96
1866,26.97
1867,26.91
1868,26.8
1869,26.78
1870,26.45
1871,26.59
1872,26.54
1873,26.6
1874,26.57
1875,26.6
1876,26.9
1877,27.22
1878,27.34
1879,26.29
1880,26.71
1881,26.61
1882,26.52
1883,26.28
1884,26.18
1885,26.53
1886,26.51
1887,26.28
1888,26.81
1889,26.89
1890,26.69
1891,27
1892,26.79
1893,25.9
1894,26.75
1895,26.63
1896,27.44
1897,27.6
1898,26.89
1899,27.19
1900,27.65
1901,27.01
1902,27.38
1903,26.73
1904,26.68
1905,26.92
1906,27.1
1907,26.67
1908,26.65
1909,26.77
1910,26.61
1911,27.03
1912,27.15
1913,27.03
1914,26.75
1915,27.01
1916,26.66
1917,25.93
1918,26.76
1919,27.05
1920,27.24
1921,26.94
1922,26.85
1923,26.93
1924,27.13
1925,26.56
1926,27.13
1927,27.25
1928,27.19
1929,27.2
1930,27.03
1931,27.11
1932,26.66
1933,26.36
1934,26.72
1935,26.98
1936,27.09
1937,26.85
1938,26.68
1939,26.85
1940,26.72
1941,27.74
1942,27.19
1943,26.53
1944,26.85
1945,26.7
1946,26.93
1947,27.07
1948,27.26
1949,26.86
1950,26.88
1951,27.1
1952,27.28
1953,27.44
1954,27.03
1955,26.81
1956,26.79
1957,27.24
1958,27.55
1959,27.38
1960,27.31
1961,27.04
1962,26.73
1963,26.81
1964,27.2
1965,27.21
1966,27.46
1967,27.01
1968,26.9
1969,27.34
1970,26.84
1971,26.71
1972,27.68
1973,27.63
1974,27.01
1975,26.72
1976,27.12
1977,27.32
1978,27.01
1979,27.67
1980,27.7
1981,27.1
1982,27.43
1983,27.35
1984,27.38
1985,27.51
1986,27.71
1987,27.54
1988,27.44
1989,27.06
1990,26.91
1991,27.35
1992,27.24
1993,27.24
1994,27.07
1995,27.24
1996,27.37
1997,27.47
1998,27.87
1999,27.24
2000,27.23
2001,27.56
2002,27.67
2003,27.84
2004,27.23
2005,27.49
2006,27.47
2007,27.55
2008,27.45
2009,28.03
2010,27.69
2011,27.41
2012,28.02
2013,28.85
